family_id	n_incidents	ir_b_ndcg	ir_d_ndcg	ir_h_ndcg	paired_delta	gh_top1_acc	leave_one_out_macro_delta	qrels_provenance	status
FAM-TEST-01	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	llm_judge_adjudicated	NOT_RUN
FAM-TEST-02	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	llm_judge_adjudicated	NOT_RUN
FAM-TEST-03	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	llm_judge_adjudicated	NOT_RUN
FAM-TEST-04	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	llm_judge_adjudicated	NOT_RUN
FAM-TEST-05	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	llm_judge_adjudicated	NOT_RUN
FAM-TEST-06	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	llm_judge_adjudicated	NOT_RUN
